bias,偏见；偏爱  
analyze,分析  
burden,负担；使担负  
urge,敦促；竭力主张；冲动  
urgent,紧急的；迫切的  
athlete,运动员  
justice,公平；司法制度；法官  
justify,证明有理；辩解  
behave,表现；守规矩  
alter,改变；更改  
alternative,替代的；非传统的；替代品  
atmosphere,大气；气氛  
hemisphere,半球  
catalog,目录；编目录  
category,类别；范畴  
bond,联系；债券；建立关系  
faculty,能力；院系  
factor,因素；因子  
factory,工厂  
battery,电池；一系列  
battle,战斗；争论；搏斗  
cancer,癌症  
alcohol,酒精；酒  
basis,基础；原因；方式  
database,数据库  
bacteria,细菌  
serve,服务；保持  
deserve,应得；值得  
reserve,保留；预订；储备  
pioneer,先锋；开创  
volunteer,志愿者；自愿做  
reform,改革；改造  
former,以前的；前者  
formula,公式；配方  
extreme,极端的；极端  
external,外部的；外来的  
superior,更好的；上司  
junior,初级的；三年级学生  
disorder,杂乱；骚乱；疾病  
display,展示；陈列；表演  
dispute,争论；纠纷；质询  
distract,分散注意力；使分心  
distribute,分发；分配；散布  
discourage,使泄气；阻止  
texture,质地；口感；韵味  
acupuncture,针灸  
architecture,建筑学；体系结构  
sculpture,雕塑品；雕刻术  
structure,结构；建筑物；组织  
infrastructure,基础设施  
leisure,空闲；休闲  
feature,特征；以……为特色  
decrease,减少  
deplete,耗尽；枯竭  
detect,发现；探测；察觉  
decline,下降；衰退；拒绝  
depend,依靠；信赖；取决于  
deposit,放下；订金；沉积物  
desert,沙漠；抛弃  
despite,尽管  
detail,细节；具体情况  
default,违约；默认  
desire,渴望；欲望  
declare,宣布；宣告  
define,定义；界定  
delay,延误；推迟  
deliver,传送；发表；接生  
demonstrate,说明；展示；示威  
determine,决定；查明；形成  
familiar,熟悉的；过分亲昵的  
solar,太阳的；太阳能的  
nuclear,核的；核能的  
scholar,学者  
seminar,研讨会；研讨班  
comment,评论；批评  
mental,精神的；智力的  
mention,提到；提及  
remind,提醒；使想起  
document,文件；记录  
implement,执行；工具  
monument,纪念碑；历史遗迹  
parliament,议会；英国议会  
