rival,竞争对手；与……相匹敌
thrive,茁壮成长；繁荣；蓬勃发展
cave,洞穴；山洞
barrel,桶；一桶的量；高速行进
barrier,障碍；屏障
circus,马戏团；圆形广场；马戏表演；热闹场面
satellite,人造卫星；卫星
purchase,购买；采购
purpose,目的；意图；重要意义；情势的需要
pursue,追求；贯彻；跟踪；追逐
minimum,最低的；最小的；最低限度
minister,部长；牧师；服侍
carbon,碳；复写纸
cite,引用；提及原因；列举；表彰；传唤
calorie,卡路里
clone,克隆动物；克隆人；仿制机；克隆
private,私有的；私人的；秘密的；私立的；私营的
privilege,特权；优惠；荣幸；给予特权
civil,公民的；国内的；民事的；有礼貌的
philosophy,哲学；人生哲学
sophisticated,老练的；精密的；高级的
coast,海岸；海滨；惯性滑行；不费力地取得成功
campaign,运动；活动；战役；参加运动
version,版本；型式；描述
reverse,使反转；交换；撤销；相反的情况；相反的
convert,转变；转换；改变；皈依者
symptom,症状；征兆
syndrome,综合征；典型表现
prohibit,禁止；阻止
prompt,立即的；及时的；促使；激起；提示
profit,利润；收益；好处；得到好处
intelligent,聪明的；有智力的；智能的
interview,面试；访谈；采访
entrepreneur,企业家；创业者
enterprise,企业；事业；进取心
interfere,干预；妨碍
internal,内部的；体内的；国内的
cognitive,认知的
sensitive,敏感的；体贴的；易生气的；棘手的
embrace,拥抱；欣然接受；接受
enthusiasm,热情；热衷的事物
enroll,加入；注册；登记
envelop,包住；裹住；盖住
envelope,信封；外层
ensure,确保；保证
encourage,鼓励；促进
endure,忍受；持续
enhance,提高；增强；增进
engage,吸引；雇用；参与；融入
endorse,赞同；支持；代言
entail,需要；牵涉；导致
merchant,商人；批发商；爱好者；商船的
tenant,租户；房客；佃户
reluctant,不情愿的；勉强的
significant,有重大意义的；显著的；数量相当大的；意味深长的
exercise,运动；锻炼；练习；行使
recognize,认出；辨别出；承认；意识到
criticize,批评；评论
vulnerable,脆弱的；易受伤害的
available,可用的；可获得的；有空的
invisible,隐形的；无形的
flexible,灵活的；可变动的
responsible,负责的；责任重大的
setting,环境；地点；挡位
regarding,关于
motivate,驱使；激励
incorporate,包括在内；包含；并入；注册成立
illustrate,说明；证明；加插图
navigate,航行；驾驶；横渡；确定位置
indicate,表明；指出；暗示
investigate,调查
stimulate,刺激；促使；促进；激发
calculate,计算；估计；预料
celebrate,庆祝；赞美
communicate,交流；沟通；传达
dominate,支配；控制；占首要地位；占有优势
estimate,估计；估算；评估
migrate,迁徙；迁移
exaggerate,夸大；夸张；言过其实
ultimate,最后的；至高的；极度的；最高典范
immediate,立即的；当前的；紧急的；直接的；关系最近的
climate,气候；气候区；环境气氛
undergraduate,本科生
