differ,相异；不同意
mass,堆；群众；大规模的；聚集
handle,处理；应付；操纵；把手
handicraft,手工艺；手工艺品
lawyer,律师
prospect,可能性；前景；景色
perspective,观点；角度；景观
respect,尊重；钦佩；遵守；尊重
suspect,怀疑；犯罪嫌疑人；可疑的
fund,基金；专款；资金；为……提供资金
fundamental,基础的；根本的；基本原理
peak,山峰；顶峰；达到高峰；高峰时期的
plain,平原；清楚的；朴素的
labour,劳动；劳动力；工作
laboratory,实验室
identity,身份；特征；一致
identify,认出；识别；确认；发现
hundred,一百；许多
simultaneous,同时发生的；同步的
physician,内科医生
physics,物理学
premium,保险费；附加费；高昂的；优质的
prestige,声望；威信；令人敬仰的
preserve,保护；保存；保持；保护区
president,总统；院长；总裁
previous,先前的；以往的
prevail,盛行；战胜；劝服
prevent,阻止；预防
retain,保留；保持；聘请
contain,包含；抑制；防止蔓延
maintain,维持；保持；维修
hinder,阻碍；妨碍；牵制
technique,技巧；方法；技术
diminish,减小；减弱；贬低
diverse,不同的；多种多样的
distinct,清晰的；不同种类的
distinguish,区分；辨别；使有别于
district,地区；区域
escape,逃走；摆脱；逃跑
capable,有能力的；足以胜任的
capacity,能力；容积；生产能力
capture,捕捉；攻占；引起；捕获
participate,参与；参加
principle,行为准则；原则；原理
proper,恰当的；真正的；正当的
property,所有物；财产；房地产；特性
package,包裹；包装盒；包装
beverage,饮料
utility,实用；效用；公用事业
quality,品质；质量；特质；优质
celebrity,名人；明星；名望
authority,权力；权威；专家；当局
community,社区；团体；群体
electricity,电；电能
metabolism,新陈代谢
journalism,新闻报道；新闻工作
reputation,名声；声誉
foundation,基础；根据；地基；基金会
agent,代理人；经纪人；间谍
component,组成部分；成分；部件
continent,大陆；洲
ancient,古老的；古代的；古代人
consistent,一致的；持续的；一贯的
frequent,频繁的；常去
illiterate,文盲；不识字的；外行的
import,进口；进口
imply,暗示；表明；意味着
improve,提高；改善；改进
independent,独立的
infant,婴儿；幼儿；初期的
invest,投资；投入；赋予
inspire,鼓舞；激励；启发
insight,深入了解；洞察力；领悟
ingredient,成分；原料；要素
intend,打算；准备；被用于
intensive,集中的；密集的；彻底的
inner,内部的；内心的
insure,投保；提供保险
enquire,询问；打听；调查
insect,昆虫
intense,强烈的；激烈的；热切的
