witness,证人；目击者；当场看到；见证
scale,规模；程度；等级；攀登
alien,陌生的；外国的；异域的；外星人；外国人
secretary,秘书；部长；大臣
secure,安全的；安心的；稳定的；获得
separate,独立的；分开的；不同的；使分开
relate,有联系；讲述
relative,相关联的；相对的；亲戚
fancy,想象；爱好；想做；花哨的
vote,投票；票；选举；投票权；投票
pose,姿势；姿态；造成；引起
expose,暴露；使面临；使受熏陶；揭露
impose,强加于；强制实行；推行；勉强
tablet,药片；匾；碑
exotic,外来的；异国情调的；奇异的
scene,场景；片段；现场；界
moderate,中等的；适度的；不偏激的；缓和
modify,修改；调整；变更；改进
modest,谦虚的；些许的；不太高的
summit,山顶；顶峰；峰会
rare,稀少的；稀有的；罕见的；珍贵的；半熟的
severe,十分严重的；严厉的；艰巨的；朴素的
prime,主要的；首要的；典型的；盛年；鼎盛时期；事先指点
decade,十年；十年期
decent,像样的；相当不错的；正派的；得体的
robust,强健的；富有活力的；结实的；坚定的；信心十足的
ecosystem,生态系统
economics,经济学；经济情况
metropolitan,大城市的；大都会的
politics,政治学；政治
trigger,扳机；诱因；触发器；促使；引起；触发
trait,特征；特性；特点
abstract,抽象的；摘要；提取；抽取
track,小道；轨道；跑道；足迹；跟踪；追踪
portray,描绘；描写；表现；扮演
individual,单独的；个人的；独特的；个人
medium,中等的；适中的；媒介；方法
medical,医疗的；疾病的
medication,药；药物
medicine,药；药物；医学；医疗
caution,小心；谨慎；警告；提醒
transition,转变；转型；过渡
recession,经济衰退；退后
notion,看法；观念；概念
nutrition,营养
profession,行业；职业；专业；声明
tuition,学费；教学；讲授；指导
proportion,部分；比例
fraction,小部分；少量；分数
official,官方的；正式的；公务的；官员
initial,开始的；最初的；用姓名的首字母签名；首字母
artificial,人工的；人造的；假的；非自然的
material,材料；原料；物质的；重要的
crucial,至关重要的；关键性的
potential,潜在的；可能的；可能性；潜力
reveal,揭露；展示；露出；透露；泄露
represent,代表；展现；维护利益；描绘
regard,视为；认为；注意；关注；尊重
regardless,不顾；不管；不注意的
register,登记；注册；登记簿；注册表；收银机
reproduce,重现；再现；翻印；繁殖
recommend,推荐；介绍；建议
rely,依赖；依靠
revolution,革命；巨变
reward,奖励；回报；报酬；奖励
rescue,营救；拯救；救援
respond,回答；回复；作出反应
revenue,收入；收益
review,回顾；评论；审查；复查；复习；检阅
recall,记起；回忆起；召回；记忆力
refrain,克制；忍住；避免；经常重复的评价
retrieve,取回；找回；挽回；检索数据
recover,恢复；收回；寻回
replace,代替；替代；取代；把……放回原处
recruit,招募；招聘；征募；新兵；新成员
release,释放；松开；发布；发泄；公开
return,返回；恢复；退还；回报
resist,反对；抵制；抵挡；抗；反抗
retail,零售；零售
require,需要；要求；规定
