flat,平坦的；水平的；无趣的；公寓
flatten,使变平
mortgage,抵押；抵押贷款
sample,样本；样品；体验
press,按；压；催促；新闻报道；报刊
census,统计；人口普查
pest,害虫；讨厌的人
predator,捕食性动物；掠夺者
imagine,想象；设想
prior,先前的；优先的
client,委托人；客户
master,主人；大师；掌握；控制；最重要的
department,部；部门；系；货品区
apart,分离；相距
partly,部分地；一定程度上
particular,特别的；格外的；特定的；挑剔的
instance,例子；实例；事例
stage,舞台；阶段；步；举行
establish,建立；确定；确立
status,地位；状况
state,状态；国家；州；国家提供的；陈述
estate,地产；庄园；住宅区；遗产
tailor,按需定制；裁缝
motor,发动机；汽车的；机动的
monitor,监控；监测器；显示器；班长
sector,部门；领域；行业；军事防御区
practical,实际的；客观存在的；切实可行的；务实的
sceptical,怀疑的
technical,技术的；技巧的；专业的
typical,典型的；平常的；特有的
subtle,微妙的；细微的；狡猾的；敏锐的
substitute,代替物；替补队员；代替；取代
sufficient,足够的；充足的；充分的
supply,供应量；储备；补给；供应；提供
supplement,补充；增刊；额外费用；补充
eliminate,消除；淘汰；消灭
elite,精英；精英的；最优秀的
emerge,出现；显现；暴露
emotion,情感；情绪
enormous,巨大的；庞大的
evolve,进化；逐渐形成
essay,文章；论文；尝试
efficient,效率高的；有效的
effort,努力；精力
excellent,优秀的；杰出的；极好的
exhibit,展出；展览；表现；展览
exist,存在；生存；生活
exploit,利用；剥削；开发；英勇行为
explore,探索；探讨；探查
export,出口；输出品；出口产品
extract,提取；摘录；提取物；摘录
expense,费用；开销
extend,扩大；延长；提供；延伸
extent,程度；范围
exact,准确的；确切的；迫使
exchange,交换；交流；兑换；交换；交流
cumulative,累积的；渐增的；累计的
petroleum,石油
forum,论坛；讨论会；公共讨论场所
momentum,动力；势头；动量
curriculum,全部课程；课程
indigenous,当地的；土生土长的
various,各种各样的；各种不同的
numerous,众多的
routine,常规的；日常的；例行的；平淡的；常规
marine,海洋的；海运的；海事的
gasoline,汽油
military,军事的；军人的；军队
ordinary,普通的；平常的
secondary,次要的；中学的；继发性的
salary,薪水；工资
federal,联邦的；联邦政府的
fiscal,财政的
legal,法律的；合法的；法律要求的
moral,道德的；道德规范；品行
rural,农村的；乡村的
vital,至关重要的
signal,信号；预示；示意；非凡的
